area_code,area_type,area_name,year,period,type_definition,indicator,numerator,measure,upper_confidence_interval,lower_confidence_interval
S12000005,Council area,Clackmannanshire,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, females",NA,59.6,63.3,55.9
S12000005,Council area,Clackmannanshire,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, males",NA,61.2,64.2,58.3
S12000005,Council area,Clackmannanshire,2017,2017 calendar year,Percentage,Population income deprived,7305,14.2,14.5,13.9
S12000005,Council area,Clackmannanshire,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, females",NA,80,80.4,79.7
S12000005,Council area,Clackmannanshire,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, males",NA,76,76.4,75.7
S12000005,Council area,Clackmannanshire,2022,2022 survey year,Percentage,Households managing well financially,NA,45.5,51.9,39
S12000006,Council area,Dumfries & Galloway,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, females",NA,59.2,61.9,56.6
S12000006,Council area,Dumfries & Galloway,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, males",NA,62.3,64.7,59.9
S12000006,Council area,Dumfries & Galloway,2017,2017 calendar year,Percentage,Population income deprived,17084,11.5,11.6,11.3
S12000006,Council area,Dumfries & Galloway,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, females",NA,81.1,81.7,80.4
S12000006,Council area,Dumfries & Galloway,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, males",NA,77.4,78.1,76.7
S12000006,Council area,Dumfries & Galloway,2022,2022 survey year,Percentage,Households managing well financially,NA,51.6,57.1,46.1
S12000008,Council area,East Ayrshire,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, females",NA,59.9,62.4,57.4
S12000008,Council area,East Ayrshire,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, males",NA,56.8,60.1,53.6
S12000008,Council area,East Ayrshire,2017,2017 calendar year,Percentage,Population income deprived,18532,15.2,15.4,15
S12000008,Council area,East Ayrshire,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, females",NA,79.1,79.7,78.6
S12000008,Council area,East Ayrshire,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, males",NA,74.8,75.4,74.1
S12000008,Council area,East Ayrshire,2022,2022 survey year,Percentage,Households managing well financially,NA,43.5,50.1,37
S12000010,Council area,East Lothian,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, females",NA,68.4,71,65.8
S12000010,Council area,East Lothian,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, males",NA,60.7,63.8,57.7
S12000010,Council area,East Lothian,2017,2017 calendar year,Percentage,Population income deprived,10711,10.2,10.4,10
S12000010,Council area,East Lothian,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, females",NA,82.3,82.9,81.8
S12000010,Council area,East Lothian,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, males",NA,78.7,79.3,78.1
S12000010,Council area,East Lothian,2022,2022 survey year,Percentage,Households managing well financially,NA,49.2,55.3,43
S12000011,Council area,East Renfrewshire,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, females",NA,67.2,69.9,64.4
S12000011,Council area,East Renfrewshire,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, males",NA,66.7,69.1,64.3
S12000011,Council area,East Renfrewshire,2017,2017 calendar year,Percentage,Population income deprived,6424,6.8,6.9,6.6
S12000011,Council area,East Renfrewshire,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, females",NA,83.7,84.9,82.5
S12000011,Council area,East Renfrewshire,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, males",NA,79.4,80.7,78.2
S12000011,Council area,East Renfrewshire,2022,2022 survey year,Percentage,Households managing well financially,NA,60,66.7,53.3
S12000013,Council area,Na h-Eileanan Siar,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, females",NA,64,68.2,59.8
S12000013,Council area,Na h-Eileanan Siar,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, males",NA,67.4,71,63.8
S12000013,Council area,Na h-Eileanan Siar,2017,2017 calendar year,Percentage,Population income deprived,2637,9.8,10.2,9.4
S12000013,Council area,Na h-Eileanan Siar,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, females",NA,82.6,83.2,81.9
S12000013,Council area,Na h-Eileanan Siar,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, males",NA,78.1,78.8,77.3
S12000013,Council area,Na h-Eileanan Siar,2022,2022 survey year,Percentage,Households managing well financially,NA,67.5,72.5,62.5
S12000014,Council area,Falkirk,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, females",NA,59.2,62.1,56.2
S12000014,Council area,Falkirk,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, males",NA,59.3,61.8,56.8
S12000014,Council area,Falkirk,2017,2017 calendar year,Percentage,Population income deprived,18049,11.3,11.4,11.1
S12000014,Council area,Falkirk,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, females",NA,79.9,80.4,79.4
S12000014,Council area,Falkirk,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, males",NA,76.2,76.7,75.6
S12000014,Council area,Falkirk,2022,2022 survey year,Percentage,Households managing well financially,NA,45.4,52.2,38.5
S12000017,Council area,Highland,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, females",NA,65.8,69.4,62.3
S12000017,Council area,Highland,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, males",NA,63.5,66.8,60.2
S12000017,Council area,Highland,2017,2017 calendar year,Percentage,Population income deprived,22916,9.7,9.9,9.6
S12000017,Council area,Highland,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, females",NA,81.8,82.3,81.4
S12000017,Council area,Highland,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, males",NA,77.3,77.8,76.8
S12000017,Council area,Highland,2022,2022 survey year,Percentage,Households managing well financially,NA,53.9,59.6,48.2
S12000018,Council area,Inverclyde,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, females",NA,59.3,62,56.7
S12000018,Council area,Inverclyde,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, males",NA,57.7,60.2,55.2
S12000018,Council area,Inverclyde,2017,2017 calendar year,Percentage,Population income deprived,13945,17.7,18,17.4
S12000018,Council area,Inverclyde,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, females",NA,78.7,79.5,77.9
S12000018,Council area,Inverclyde,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, males",NA,74.6,75.4,73.8
S12000018,Council area,Inverclyde,2022,2022 survey year,Percentage,Households managing well financially,NA,51.8,59.8,43.8
S12000019,Council area,Midlothian,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, females",NA,61.9,65.3,58.6
S12000019,Council area,Midlothian,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, males",NA,59.7,63.6,55.8
S12000019,Council area,Midlothian,2017,2017 calendar year,Percentage,Population income deprived,9733,10.8,11,10.6
S12000019,Council area,Midlothian,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, females",NA,80.9,81.5,80.4
S12000019,Council area,Midlothian,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, males",NA,77.1,77.7,76.5
S12000019,Council area,Midlothian,2022,2022 survey year,Percentage,Households managing well financially,NA,35.5,41.5,29.6
S12000020,Council area,Moray,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, females",NA,62.7,65.9,59.6
S12000020,Council area,Moray,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, males",NA,62.4,65.4,59.5
S12000020,Council area,Moray,2017,2017 calendar year,Percentage,Population income deprived,8117,8.5,8.7,8.3
S12000020,Council area,Moray,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, females",NA,82.1,82.7,81.4
S12000020,Council area,Moray,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, males",NA,78.7,79.3,78
S12000020,Council area,Moray,2022,2022 survey year,Percentage,Households managing well financially,NA,53.4,60.4,46.3
S12000021,Council area,North Ayrshire,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, females",NA,52.1,55.1,49
S12000021,Council area,North Ayrshire,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, males",NA,56.5,59.2,53.8
S12000021,Council area,North Ayrshire,2017,2017 calendar year,Percentage,Population income deprived,23059,17,17.2,16.8
S12000021,Council area,North Ayrshire,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, females",NA,79.5,80,78.9
S12000021,Council area,North Ayrshire,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, males",NA,74.6,75.2,73.9
S12000021,Council area,North Ayrshire,2022,2022 survey year,Percentage,Households managing well financially,NA,47.1,54.5,39.6
S12000023,Council area,Orkney Islands,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, females",NA,76.4,82.6,70.1
S12000023,Council area,Orkney Islands,2020,2019-2021 (3 year aggregate),Years,"Healthy life expectancy, males",NA,71.7,77.2,66.3
S12000023,Council area,Orkney Islands,2017,2017 calendar year,Percentage,Population income deprived,1504,6.8,7.2,6.5
S12000023,Council area,Orkney Islands,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, females",NA,84,84.6,83.4
S12000023,Council area,Orkney Islands,2021,2020 to 2022 (3 year aggregate),Years,"Life expectancy, males",NA,79.9,80.6,79.3
S12000023,Council area,Orkney Islands,2022,2022 survey year,Percentage,Households managing well financially,NA,60.2,65.9,54.5
